,Year,ANTISEMITIC EXPRESSION,TARGETING JEWISH STUDENTS AND STAFF,BDS ACTIVITY
0,2015,0.4531914893617021,0.25957446808510637,0.2872340425531915
1,2016,0.4752623688155922,0.29685157421289354,0.22788605697151423
2,2017,0.43794579172610554,0.40228245363766046,0.15977175463623394
3,2018,0.47022332506203474,0.4057071960297767,0.12406947890818859
4,2019,0.4756756756756757,0.40675675675675677,0.11756756756756757
5,2020,0.5308056872037915,0.3767772511848341,0.0924170616113744
6,2021,0.6413793103448275,0.32298850574712645,0.035632183908045977
7,2022,0.5137724550898204,0.41916167664670656,0.06706586826347305
8,2023,0.47619047619047616,0.5,0.023809523809523808
9,2024,0.3684210526315789,0.631578947368421,0.0
